period_start,period,purchase_bid,sell_bid,mcv,mcp,final_scheduled_volume
2026-02-06 10:00:00,10:00 - 10:15,18652.5,26330.7,11947.7,2690.17,11947.7
2026-02-06 10:15:00,10:15 - 10:30,17918.6,26911.3,12042.0,2600.0,12042.0
2026-02-06 10:30:00,10:30 - 10:45,15858.5,28581.9,11946.89,2350.14,11946.89
2026-02-06 10:45:00,10:45 - 11:00,15397.6,30462.4,11825.6,2270.87,11825.6
2026-02-06 11:00:00,11:00 - 11:15,16024.1,33156.2,11846.5,2210.53,11846.5
2026-02-06 11:15:00,11:15 - 11:30,15966.7,34537.0,11844.5,2210.69,11844.5
2026-02-06 11:30:00,11:30 - 11:45,15800.6,36437.0,11470.68,2012.78,11470.68
2026-02-06 11:45:00,11:45 - 12:00,15341.3,38731.6,11253.99,1930.99,11253.99
2026-02-06 12:00:00,12:00 - 12:15,14897.7,41325.7,11282.2,2164.93,11282.2
2026-02-06 12:15:00,12:15 - 12:30,14754.2,42513.4,11472.1,2074.73,11472.1
2026-02-06 12:30:00,12:30 - 12:45,14905.5,44218.8,11572.04,2012.14,11572.04
2026-02-06 12:45:00,12:45 - 13:00,14607.6,45955.2,11457.9,1929.02,11457.9
2026-02-06 13:00:00,13:00 - 13:15,14068.0,47920.8,11240.4,1780.52,11240.4
2026-02-06 13:15:00,13:15 - 13:30,13654.9,48715.5,11042.6,1724.8,11042.6
2026-02-06 13:30:00,13:30 - 13:45,13391.7,49623.9,10928.3,1724.64,10928.3
2026-02-06 13:45:00,13:45 - 14:00,13369.3,49605.4,10956.5,1724.6,10956.5
2026-02-06 14:00:00,14:00 - 14:15,14921.2,47356.6,12071.98,1830.1,12071.98
2026-02-06 14:15:00,14:15 - 14:30,15104.2,46071.4,12362.9,1929.18,12362.9
2026-02-06 14:30:00,14:30 - 14:45,15584.3,44520.6,12802.3,1901.4,12802.3
2026-02-06 14:45:00,14:45 - 15:00,15395.1,42941.4,12596.09,1940.39,12596.09
2026-02-06 15:00:00,15:00 - 15:15,16723.7,39647.1,12150.7,2174.56,12150.7
2026-02-06 15:15:00,15:15 - 15:30,17179.5,37772.6,12278.7,2368.44,12278.7
2026-02-06 15:30:00,15:30 - 15:45,17189.0,34977.8,12992.7,2470.07,12992.7
2026-02-06 15:45:00,15:45 - 16:00,17740.2,33875.4,12498.91,2600.32,12498.91
2026-02-06 16:00:00,16:00 - 16:15,16613.6,32037.6,11632.7,2461.84,11632.7
2026-02-06 16:15:00,16:15 - 16:30,16742.0,30886.5,11282.3,2470.43,11282.3
2026-02-06 16:30:00,16:30 - 16:45,16532.3,27821.3,10925.84,2790.33,10925.84
2026-02-06 16:45:00,16:45 - 17:00,16228.7,25282.4,10270.3,2841.17,10270.3
2026-02-06 17:00:00,17:00 - 17:15,15771.3,21489.1,8688.6,3080.28,8688.6
2026-02-06 17:15:00,17:15 - 17:30,15709.6,17630.7,7686.3,3350.86,7686.3
2026-02-06 17:30:00,17:30 - 17:45,16379.2,16063.1,8763.6,3699.04,8763.6
2026-02-06 17:45:00,17:45 - 18:00,17280.2,15899.9,9648.9,4064.96,9648.9
2026-02-06 18:00:00,18:00 - 18:15,18108.0,14256.0,9698.4,4759.83,9698.4
2026-02-06 18:15:00,18:15 - 18:30,19568.8,13645.4,9550.39,5500.89,9550.39
2026-02-06 18:30:00,18:30 - 18:45,20168.0,13067.8,9787.5,6299.95,9787.5
2026-02-06 18:45:00,18:45 - 19:00,19779.5,13240.8,9560.8,6299.38,9560.8
2026-02-06 19:00:00,19:00 - 19:15,19068.5,12471.4,9093.79,5450.22,9093.79
2026-02-06 19:15:00,19:15 - 19:30,19117.3,12645.1,9238.8,5349.33,9238.8
2026-02-06 19:30:00,19:30 - 19:45,17621.5,13306.2,8869.6,4600.81,8869.6
2026-02-06 19:45:00,19:45 - 20:00,17248.4,13670.0,8958.12,4231.09,8958.12
2026-02-06 20:00:00,20:00 - 20:15,17541.5,14758.8,9133.2,3999.23,9133.2
2026-02-06 20:15:00,20:15 - 20:30,17508.0,14805.6,9166.12,3999.49,9166.12
2026-02-06 20:30:00,20:30 - 20:45,16648.5,15951.6,9165.37,3699.92,9165.37
2026-02-06 20:45:00,20:45 - 21:00,15926.2,16595.0,8808.59,3639.38,8808.59
2026-02-06 21:00:00,21:00 - 21:15,14941.9,16575.2,8355.3,3499.84,8355.3
2026-02-06 21:15:00,21:15 - 21:30,14882.7,18240.2,8351.1,3487.37,8351.1
2026-02-06 21:30:00,21:30 - 21:45,15123.9,19809.2,8729.32,3480.84,8729.32
2026-02-06 21:45:00,21:45 - 22:00,14737.2,20943.1,8582.56,3470.98,8582.56
2026-02-06 22:00:00,22:00 - 22:15,14294.8,22416.0,8596.6,3311.37,8596.6
2026-02-06 22:15:00,22:15 - 22:30,14478.5,24059.0,8728.4,3300.45,8728.4
2026-02-06 22:30:00,22:30 - 22:45,14515.8,25425.7,8728.97,3179.68,8728.97
2026-02-06 22:45:00,22:45 - 23:00,14112.7,25995.4,8395.72,3135.53,8395.72
2026-02-06 23:00:00,23:00 - 23:15,13979.9,27345.2,8091.66,3000.51,8091.66
2026-02-06 23:15:00,23:15 - 23:30,13600.9,28093.6,7785.5,2888.65,7785.5
